X,Y,Nome,Municipio,Codigo,Estado,Categoria,Operadora,icon_url
-50.121111,-21.511944,PENAPOLIS,PENÁPOLIS,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-50.326389,-21.281389,BIRIGUI,BIRIGUI,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-50.031389,-21.409722,PENÁPOLISV,PENÁPOLIS,Não Informado,SP,Doméstico,DAESP,./0.png
-49.936389,-21.188889,JOSE BONIFÁCIO,JOSÉ BONIFÁCIO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-49.844167,-21.126389,PALMARES PAULISTA,JOSÉ BONIFÁCIO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-49.730556,-21.662222,LINS,LINS,Não Informado,SP,Doméstico,DAESP,./0.png
-49.410556,-22.005,PIRAJUI,PIRAJUÍ,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-49.7925,-21.263056,JOSE BONIFÁCIO,UBARANA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.775833,-22.576111,LENÇOIS PAULISTA,LENÇÓIS PAULISTA,Não Informado,SP,Doméstico,LENPT,./0.png
-49.211667,-22.295,BAURU,BAURU,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-49.027756,-22.366334,BAURU,BAURU,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.575556,-22.695556,SÃO MANUEL,SÃO MANUEL,Não Informado,SP,Doméstico,DAESP,./0.png
-48.466944,-22.936111,BOTUCATU,BOTUCATU,Não Informado,SP,Doméstico,DAESP,./0.png
-48.523889,-22.483056,BARRA BONITA,BARRA BONITA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.699413,-22.073249,BARIRI,BARIRI,Não Informado,SP,Doméstico,BARIR,./0.png
-48.603611,-22.275,JAÚ,JAÚ,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.482222,-22.181389,JAÚ,JAÚ,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.260278,-22.246111,BROTAS,BROTAS,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.319167,-22.130833,DOURADO,DOURADO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-49.233889,-21.497222,NOVO HORIZONTE,NOVO HORIZONTE,Não Informado,SP,Doméstico,NVHOR,./0.png
-48.832222,-21.599167,ITAPOLIS,ITÁPOLIS,Não Informado,SP,Doméstico,ITAPO,./0.png
-48.658889,-21.878333,BOA ESPERANÇA DO SUL,IBITINGA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.501389,-21.904722,BOA ESPERANÇA DO SUL,BOA ESPERANÇA DO SUL,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.295278,-21.853889,ARARAQUARA,ARARAQUARA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.477778,-21.630556,MATÃO,MATÃO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.393333,-21.628889,MATÃO,MATÃO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.266111,-21.653056,ARARAQUARA,ARARAQUARA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.351944,-21.6225,MATÃO,MATÃO,Não Informado,SP,Doméstico,MATAO,./0.png
-48.527222,-21.389167,TAQUARITINGA,TAQUARITINGA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.529167,-21.260833,MONTE ALTO,MONTE ALTO,Não Informado,SP,Doméstico,MTALT,./0.png
-48.366667,-21.466667,SANTA ERNESTINA,SANTA ERNESTINA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.328056,-21.411667,GUARIBA,GUARIBA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.302778,-21.403889,GUARIBA,GUARIBA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.316389,-21.331389,JABOTICABAL,JABOTICABAL,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.356111,-21.264167,JABOTICABAL,JABOTICABAL,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.284167,-21.229444,JABOTICABAL,JABOTICABAL,Não Informado,SP,Doméstico,JABOT,./0.png
-47.758333,-24.870833,ILHA COMPRIDA,ILHA COMPRIDA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-47.844381,-24.486465,REGISTRO,REGISTRO,Não Informado,SP,Doméstico,DAESP,./0.png
-47.879444,-23.331389,TATUÍ,TATUÍ,Não Informado,SP,Doméstico,TATUI,./0.png
-47.933333,-23.306944,TATUÍ,TATUÍ,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-47.723889,-23.104167,TIETÊ,TIETÊ,Não Informado,SP,Doméstico,TIETE,./0.png
-47.561667,-23.691667,SALTO DE PIRAPORA,SALTO DE PIRAPORA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-47.485833,-23.4825,SOROCABA,SOROCABA,Não Informado,SP,Doméstico,DAESP,./0.png
-47.691944,-23.298056,BOITUVA,BOITUVA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-47.327222,-23.349167,ITU,ITU,Não Informado,SP,Doméstico,ITU,./0.png
-46.785,-24.164167,ITANHAÉM,ITANHAÉM,Não Informado,SP,Doméstico,DAESP,./0.png
-46.828889,-24.070556,ITANHAÉM,ITANHAÉM,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-46.943056,-23.181111,JUNDIAÍ,JUNDIAÍ,Não Informado,SP,Doméstico,DAESP,./0.png
-46.545079,-24.012706,PRAIA GRANDE,PRAIA GRANDE,Não Informado,SP,Doméstico,PRGRA,./0.png
-46.656086,-23.628645,SÃO PAULO / CONGONHAS,SÃO PAULO,SBSP,SP,Internacional,INFRAERO,./0.png
-46.299169,-23.927612,SANTOS,GUARUJÁ,Não Informado,SP,Doméstico,MNAER,./0.png
-46.635452,-23.509169,SÃO PAULO / MARTE,SÃO PAULO,SBMT,SP,Doméstico,INFRAERO,./0.png
-46.482311,-23.430602,SÃO PAULO / GUARULHOS,GUARULHOS,SBGR,SP,Internacional,INFRAERO,./0.png
-46.574167,-23.127222,ATIBAIA,ATIBAIA,Não Informado,SP,Doméstico,ATIBA,./0.png
-47.895556,-22.583056,SÃO PEDRO,SÃO PEDRO,Não Informado,SP,Doméstico,SPEDR,./0.png
-47.864167,-22.193611,ITIRAPINA,ITIRAPINA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-47.713889,-22.156667,ANALANDIA,ANALÃNDIA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-47.524444,-22.966389,CAPIVARI,CAPIVARI,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-47.618889,-22.71,PIRACICABA,PIRACICABA,Não Informado,SP,Doméstico,DAESP,./0.png
-47.411389,-22.603333,LIMEIRA,LIMEIRA,Não Informado,SP,Doméstico,LIMER,./0.png
-47.268056,-22.755278,AMERICANA,AMERICANA,Não Informado,SP,Doméstico,AMERI,./0.png
-47.701111,-22.439722,IPEUNA,IPEÚNA,Não Informado,SP,Doméstico,IPEUN,./0.png
-47.561944,-22.429722,RIO CLARO,RIO CLARO,Não Informado,SP,Doméstico,RCLAR,./0.png
-47.36,-22.335556,ARARAS,ARARAS,Não Informado,SP,Doméstico,ARARA,./0.png
-47.418889,-22.025833,PIRACUNUNGA,PIRASSUNUNGA,Não Informado,SP,Doméstico,PIRAS,./0.png
-47.2775,-22.151944,LEME,LEME,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.139722,-21.803889,ARARAQUARA,ARARAQUARA,Não Informado,SP,Doméstico,DAESP,./0.png
-48.021389,-21.945833,IBATÉ,IBATÉ,Não Informado,SP,Doméstico,IBATE,./0.png
-47.884167,-21.995556,SÃO CARLOS,SÃO CARLOS,Não Informado,SP,Doméstico,USP,./0.png
-47.902778,-21.875,SÃO CARLOS,SÃO CARLOS,Não Informado,SP,Doméstico,DAESP,./0.png
-47.883889,-21.780556,SÃO CARLOS,SÃO CARLOS,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-47.775556,-21.881389,SÃO CARLOS,DESCALVADO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.170556,-21.327222,GUARIBA,GUARIBA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.112778,-21.338611,PRADOPOLIS,PRADÓPOLIS,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.162778,-21.284167,JABOTICABAL,JABOTICABAL,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.065833,-21.130278,SERTAOZINHO,SERTÃOZINHO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-47.920556,-21.202222,RIBEIRÃO PRETO,RIBEIRÃO PRETO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-47.951667,-21.121389,SERTÃOZINHO,SERTÃOZINHO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-47.770583,-21.139582,RIBEIRÃO PRETO,RIBEIRÃO PRETO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-47.75,-21.1,JARDINOPOLIS,JARDINÓPOLIS,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-47.473333,-21.873889,PORTO FERREIRA,PORTO FERREIRA,Não Informado,SP,Doméstico,PTFER,./0.png
-47.343611,-21.983889,PIRACUNUNGA,PIRASSUNUNGA,Não Informado,SP,Doméstico,MNAER,./0.png
-47.630556,-21.468056,SÃO SIMAO,SÃO SIMÃO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-47.024345,-22.88755,CAMPINAS / VIRACOPOS,CAMPINAS,SBKP,SP,Internacional,INFRAERO,./0.png
-46.979722,-22.440833,MOGI MIRIM,MOJI-MIRIM,Não Informado,SP,Doméstico,MGMIR,./0.png
-46.843056,-22.491944,ITAPIRA,ITAPIRA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-46.750556,-22.182778,ESPIRITO SANTO DO PINHAL,ESPÍRITO SANTO DO PINHAL,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-46.6425,-23.006389,ATIBAIA,BRAGANÇA PAULISTA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-46.536944,-22.978611,BRAGANÇA PAULISTA,BRAGANÇA PAULISTA,Não Informado,SP,Doméstico,DAESP,./0.png
-47.055,-21.7875,CASA BRANCA,CASA BRANCA,Não Informado,SP,Doméstico,CSBRA,./0.png
-46.955,-21.831667,VARGEM GRANDE DO SUL,VARGEM GRANDE DO SUL,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-47.033889,-21.495833,MOCOCA,MOCOCA,Não Informado,SP,Doméstico,MOCOC,./0.png
